track,order,tempo_bpm,beats,onset_env_mean,mfcc_mean,mfcc_std,mfcc_max,centroid_mean,centroid_std,centroid_max,bandwidth_mean,bandwidth_std,bandwidth_max,rms_mean,rms_std,rms_max,danceability,key_strength,inharmonicity,tempo_rnn,downbeat_conf,pitch_std,drum_rms,beat_fscore,spec_rough,spec_flat,vgg0,vgg1,vgg2,vgg3,vgg4,vgg5,vgg6,vgg7,vgg8,vgg9,vgg10,vgg11,vgg12,vgg13,vgg14,vgg15,vgg16,vgg17,vgg18,vgg19,vgg20,vgg21,vgg22,vgg23,vgg24,vgg25,vgg26,vgg27,vgg28,vgg29,vgg30,vgg31,vgg32,vgg33,vgg34,vgg35,vgg36,vgg37,vgg38,vgg39,vgg40,vgg41,vgg42,vgg43,vgg44,vgg45,vgg46,vgg47,vgg48,vgg49,vgg50,vgg51,vgg52,vgg53,vgg54,vgg55,vgg56,vgg57,vgg58,vgg59,vgg60,vgg61,vgg62,vgg63,vgg64,vgg65,vgg66,vgg67,vgg68,vgg69,vgg70,vgg71,vgg72,vgg73,vgg74,vgg75,vgg76,vgg77,vgg78,vgg79,vgg80,vgg81,vgg82,vgg83,vgg84,vgg85,vgg86,vgg87,vgg88,vgg89,vgg90,vgg91,vgg92,vgg93,vgg94,vgg95,vgg96,vgg97,vgg98,vgg99,vgg100,vgg101,vgg102,vgg103,vgg104,vgg105,vgg106,vgg107,vgg108,vgg109,vgg110,vgg111,vgg112,vgg113,vgg114,vgg115,vgg116,vgg117,vgg118,vgg119,vgg120,vgg121,vgg122,vgg123,vgg124,vgg125,vgg126,vgg127,rms_halfspeed,pitch_jitter
Ashes of Our Forever.wav,1,184.5703125,88,0.9138766527175904,5.183306694030762,44.113502502441406,142.66876220703125,1044.8189115495454,350.7751697791556,2161.626914604616,1192.7194539968775,186.85151005707465,1658.9265639369216,0.3171214461326599,0.0825432240962982,0.5155137181282043,1.2842731475830078,0.6839292645454407,0.2337008863687515,139.53488372093034,,231.8962366328404,0.02651665546,0.3954619124797406,,,182.30385,15.142307,149.90384,98.26538,210.74231,101.21154,117.51923,106.28077,135.54616,205.3,174.0577,133.8,114.996155,133.68077,106.60384,79.73077,137.48462,122.56923,108.13846,168.75769,49.907692,240.12308,108.58462,96.676926,74.43846,160.8,160.20769,192.07692,141.13461,169.83461,152.05385,91.91154,124.35384,146.06538,105.45,159.22308,92.48462,94.08846,111.01538,106.88077,134.56538,224.72693,85.43077,207.09616,107.49231,170.3423,103.69231,138.66539,99.38461,163.26538,136.32307,145.50769,101.73077,144.56154,131.87308,100.223076,136.49615,50.984615,182.30385,181.9,210.56538,124.28077,82.29615,158.60385,231.33076,217.45769,136.75769,88.723076,153.3,160.69615,181.47308,126.78077,195.68846,209.94615,93.761536,195.12308,60.138462,193.92693,150.52307,109.95,161.70769,168.61923,232.14615,125.86154,155.1923,164.89615,195.66154,244.75,100.63846,67.784615,175.22308,198.95769,134.84616,230.56154,64.87692,194.14615,35.307693,85.573074,193.77692,143.40384,220.1077,110.34615,141.28076,48.657692,75.12308,204.15,92.41154,216.73077,198.76538,153.53462,91.776924,231.68077,96.4,55.946156,175.5,101.38461,75.37308,197.01154,43.24231,73.30385,219.68077,141.35,51.842308,78.723076,179.11923,17.534615,15.469231,255.0,0.1307062804698944,27.746063177439115
AvengHer.wav,2,129.19921875,61,0.8377296328544617,4.177463054656982,41.44510269165039,153.15560913085938,1501.7223887282269,471.4042870959004,2478.301683258952,1419.652012143288,188.743696148036,1733.6201911856251,0.3041199743747711,0.0538980588316917,0.4555607736110687,1.1965841054916382,0.7330154180526733,,193.5483870967728,,84.63114389435272,0.0228446703404188,0.3734265734265734,,,182.04459,20.082802,162.36624,107.6879,202.02548,81.0637,103.45223,101.99045,145.6879,224.71974,161.67834,111.044586,119.48726,98.95223,93.87579,83.42675,112.8121,112.888535,143.90128,175.33759,44.43312,237.60191,117.821655,76.57643,100.07325,193.21019,129.34714,145.1688,152.77707,175.42357,193.26433,129.53503,132.78026,149.01593,100.882164,164.86624,124.394905,100.3121,86.33121,104.47134,176.65605,225.5223,60.13376,195.70383,124.43312,152.20383,77.19427,133.19745,70.605095,159.74203,168.26114,175.6879,55.43949,103.30255,113.02229,94.7293,133.29936,86.07643,122.3344,172.77388,207.54459,121.71338,85.73248,145.74841,205.65605,174.18471,152.5,74.84077,174.60828,175.07962,126.742035,137.1465,195.44905,226.01274,157.24203,163.04778,70.9363,193.79617,174.61147,109.63057,147.1879,129.13057,209.51593,113.882164,134.63695,136.68471,194.40764,225.56369,103.5637,122.592354,175.90446,176.39172,146.43948,237.76752,68.99682,201.6051,41.363056,79.08917,156.36624,141.68153,218.29936,118.05096,98.461784,75.01274,29.808918,179.86943,142.38853,186.52866,207.42038,166.51274,141.2707,208.85988,70.52229,56.949043,121.828026,101.111465,92.455414,228.45541,23.200638,90.87579,204.16241,64.815285,62.652866,137.07962,165.42038,71.79299,24.910828,255.0,0.14824409782886505,28.036592058498012
Cages.wav,3,107.666015625,50,0.7847546339035034,3.4585537910461426,25.410886764526367,92.92806243896484,1749.9236083424364,353.9036183754514,2714.3862917825354,1549.094187468991,127.2287643750313,1887.405991982316,0.2397185117006302,0.0570279918611049,0.3709498941898346,1.3201351165771484,0.8334640264511108,0.1601092666387558,206.8965517241436,,209.7725061876425,0.0338517948985099,0.7185031185031184,,,185.98325,20.455612,166.70686,96.74874,194.07036,88.21776,109.57454,111.37856,105.27638,242.2144,120.80402,140.52931,74.03015,143.11055,82.1474,99.25293,130.45226,123.16583,139.87772,148.89113,52.09213,245.18929,142.335,68.227806,85.82915,183.36684,76.74372,133.62479,122.34506,188.92294,136.30151,131.63484,156.61475,204.41374,102.9799,169.83585,154.6449,64.876045,139.2613,113.301506,193.76215,209.31659,47.56114,210.09547,157.40536,130.46567,54.40871,96.79062,51.855946,111.162476,164.53601,131.05695,67.73869,161.62479,146.63652,121.58124,183.32831,119.556114,92.74204,233.28308,225.20938,93.95812,109.03182,174.43718,145.49748,209.61307,139.57286,135.03517,171.81741,205.7253,163.0402,87.42378,185.32329,162.34338,119.84924,118.46231,37.81072,234.76215,122.623116,118.52596,142.0201,197.24623,201.7923,184.18091,140.65494,121.78559,228.82915,240.80234,124.120605,162.9397,179.11559,136.0603,162.2211,199.60133,64.515915,172.21776,15.552764,83.232834,183.01508,142.26633,158.335,41.413734,86.338356,78.56616,20.316584,191.94138,113.68844,210.43048,182.94305,172.32161,85.29313,245.55276,127.95812,51.609715,145.10721,62.619766,112.79062,219.9732,6.3701844,73.50586,194.39195,95.49749,134.96649,86.13903,136.36516,42.489113,39.10385,255.0,0.15708087384700775,20.988062206923743
Gerrymandering Game.wav,4,129.19921875,61,1.3859413862228394,2.540703296661377,59.275001525878906,168.83685302734375,1123.5210615883807,496.2914574085232,2324.361208219093,1368.0770205365054,265.95225593246755,1828.207352171975,0.3362391889095306,0.1271869242191314,0.5959904193878174,1.3383113145828247,0.7475992441177368,,199.99999999999952,,2.6324066862112665,0.037785068154335,0.3713850837138507,,,181.20769,14.107693,152.02307,101.96923,213.72308,118.96923,109.30769,100.11539,139.58461,208.97693,149.8,133.0923,120.98462,138.22308,100.11539,86.00769,139.66154,140.31538,145.7,161.12308,52.3,207.54616,109.176926,83.738464,59.976925,138.53076,156.73077,202.67693,154.13077,141.49231,113.13846,148.55385,125.792305,142.83846,104.83846,163.1077,88.184616,80.52308,168.00769,83.207695,138.29231,208.36154,71.96154,141.32307,139.0923,176.26154,90.761536,112.3,102.02308,107.69231,123.93846,113.56154,158.26923,181.70769,131.41539,88.35384,137.01538,34.546154,155.86154,241.22308,235.26923,117.06923,95.723076,219.18462,195.53076,233.87692,145.75385,84.95385,146.83076,147.82307,189.0,140.13077,195.01538,190.05385,102.38461,183.84616,50.353848,187.77692,136.06923,105.761536,168.64615,169.53076,228.75385,107.65385,95.9,129.86923,160.32307,233.96153,145.25385,93.292305,175.97693,216.46924,110.792305,198.05385,87.06154,214.56923,25.36923,125.92308,209.51538,113.1,188.66924,86.45385,125.207695,61.523075,88.01538,221.66154,123.815384,235.76154,223.13077,203.77692,77.46923,207.43846,134.28462,64.96923,165.73077,98.815384,74.238464,167.6923,45.338463,105.47692,177.46153,201.53076,22.353846,90.97692,198.43077,18.923077,24.523077,255.0,0.11911281943321228,32.88589054867062
In The Beginning.wav,5,103.359375,50,1.2206199169158936,3.362386703491211,49.69031524658203,162.34481811523438,996.9958661081552,310.7125562349902,2457.1642785139275,1183.0040539639108,185.5413728418561,1811.919245879893,0.2405043989419937,0.073425717651844,0.4241966009140014,1.368110418319702,0.5862830281257629,0.3022064864635467,130.43478260869742,,98.637594101624,0.0327417626976966,0.2862129144851658,,,188.24667,25.24,184.78,103.76667,210.12,129.88667,117.833336,78.89333,177.63333,248.77333,148.76,164.59334,97.56,149.25333,160.56,67.566666,168.78,142.67334,179.45334,108.80666,20.546667,155.58,151.40666,21.546667,26.033333,123.013336,63.6,218.66,181.90666,147.25333,109.96,162.44667,132.16,165.08667,51.613335,188.97333,157.66,41.246666,136.71333,107.39333,94.113335,106.22667,1.6333333,49.413334,74.8,150.52,171.87334,111.886665,150.02667,96.94,244.13333,47.053333,216.58667,168.49333,25.3,72.22,215.58,12.96,128.77333,242.00667,250.74,92.37334,102.84,246.36,144.44,232.86667,189.26666,216.45334,96.42667,40.6,207.69333,220.3,238.32,240.17334,32.02,116.49333,145.27333,177.32666,43.873333,231.26,194.84,153.82666,184.08,97.86667,32.34667,61.6,195.59334,123.08667,150.04666,59.18667,100.04,249.41333,26.046667,236.21333,51.18,221.36,25.52,162.55333,215.80667,134.34,158.62666,7.306667,160.70667,133.3,8.673333,214.12666,134.92,250.82666,227.36,247.54666,10.513333,249.46666,44.533333,20.953333,78.48,158.24667,4.4466667,248.14667,36.046665,99.05334,230.83333,114.63333,54.12,68.16,235.00667,51.353333,2.8933334,255.0,0.12202823907136917,9.584255482297328
Michele with one L.wav,6,86.1328125,42,0.8290741443634033,5.472236156463623,37.3669548034668,112.39244079589844,1314.0354425972723,351.6648357137667,2486.527797130495,1402.1363599110912,148.6487589305098,1829.0385458326973,0.3085192441940307,0.1001694574952125,0.5179842114448547,1.3047086000442505,0.8470767736434937,,107.14285714285673,,205.4431966928273,0.01743352599442,0.3575581395348837,,,184.2211,24.884422,171.26633,103.33166,208.20602,83.768845,110.58292,102.96482,140.66833,232.1206,144.74371,135.45226,83.08543,143.22614,100.38191,73.42714,156.01508,142.53267,139.94975,146.70352,48.180904,212.92462,131.11559,64.34673,69.733665,159.74371,121.50251,155.71356,132.7789,156.68341,148.01508,148.86935,121.0804,191.81407,68.2412,206.10553,113.0603,80.38693,119.63316,125.19598,143.54774,176.10051,40.0,173.9598,131.67839,139.26633,73.517586,132.46231,71.16583,124.839195,179.57286,153.90955,81.839195,157.39699,112.86432,90.31156,181.42714,66.49749,138.17587,208.7789,199.44221,129.43216,89.879395,166.35678,192.201,215.88945,140.62312,140.08543,193.4221,162.98994,136.7186,150.25125,213.21106,194.2211,126.68844,124.839195,75.39196,211.60301,129.4221,125.56281,146.9196,160.54271,190.81407,185.28644,160.60805,92.38191,214.69347,214.55276,80.16583,97.090454,164.50754,154.74371,159.45729,218.32663,90.86432,234.0402,49.77387,92.090454,179.84924,148.8794,211.66833,105.698494,122.10553,84.9196,24.286432,219.92462,96.23618,183.85428,192.76884,181.7186,121.07035,236.81909,74.67337,60.095478,171.10051,85.18593,123.59799,227.64824,27.331657,70.18091,226.30653,60.718594,83.78895,85.512566,114.11055,50.201004,37.452263,255.0,0.1425592601299286,50.730328108757796
New Heroes.wav,7,161.4990234375,80,0.903403639793396,1.575125217437744,54.03959655761719,150.03317260742188,1045.2251154222442,383.7764256593799,2859.9057167290885,1314.4462033105704,225.47019214479985,1975.3098623368144,0.2160130143165588,0.0916704833507537,0.4863345623016357,1.1899700164794922,0.9683074355125428,0.2039879858493805,117.64705882352496,,103.40528869321956,0.0273216981440782,0.610260336906585,,,182.90178,17.863094,167.88245,87.375,197.1265,95.78274,126.916664,115.42262,116.63393,233.49702,126.52976,136.57887,86.70536,141.1012,94.034225,95.15625,117.05804,119.5372,120.07887,142.48363,48.79018,240.00447,120.677086,82.86905,86.08185,187.74553,100.16071,161.69495,142.27678,163.67113,140.05357,116.72619,144.36012,180.97917,88.74851,171.09225,120.252975,77.9375,122.35863,109.489586,168.46577,203.14583,58.13393,205.3631,152.5491,150.1622,74.903275,116.260414,77.90476,141.40475,155.62947,133.03125,68.98512,159.82738,150.37947,110.56101,170.60565,116.2128,125.38839,226.15625,225.2262,111.4122,132.73363,196.79613,194.55803,205.01785,121.71131,112.81845,164.47917,190.07887,156.12947,85.68601,186.60417,178.7887,105.29762,120.33185,38.98512,221.15625,119.96131,144.53125,150.73512,178.21875,218.5491,182.34375,138.47917,113.71131,208.87798,238.69495,113.07887,126.403275,203.71875,154.0387,165.625,181.7485,51.92262,189.4241,24.36756,85.497025,182.71875,155.3244,180.97025,74.46875,91.24851,77.25893,18.328869,176.04613,119.14137,210.84822,169.11012,196.82738,73.60119,230.70535,116.3125,58.14137,150.43452,76.51786,85.159225,200.811,8.178572,94.19345,198.80803,130.42708,122.57887,79.125,145.05357,34.95387,36.563988,255.0,0.15169602632522583,39.757121475213275
Ruler Rebel [X. aTunde Adjuah Remix].wav,8,80.74951171875,39,0.8970404863357544,6.161454677581787,48.84039306640625,132.246337890625,974.7491288402658,342.6602460863475,2357.7606567149337,1139.4613242368252,199.05175670171744,1888.6244047858163,0.2849648892879486,0.0740439668297767,0.4969278872013092,1.359500765800476,0.8510745167732239,,81.08108108108009,,498.0675577894914,0.0278140995651483,0.2859744990892532,,,180.30435,15.274457,153.68207,101.93207,205.53804,90.008156,115.40761,113.054344,133.93478,218.89403,183.09782,117.46739,124.58152,100.896736,120.1875,82.75,112.61413,93.521736,131.58696,191.74728,45.673912,236.64946,120.3125,87.35054,107.26359,186.42392,147.31522,177.11414,157.76086,177.34782,158.47554,96.75543,154.4375,139.75,117.603264,144.76631,116.453804,104.410324,82.559784,92.26359,167.69565,227.50815,55.565216,224.83968,100.08152,165.64946,109.09239,133.95381,92.190216,177.83968,142.46468,161.26631,47.554348,127.589676,138.87772,111.304344,132.24185,75.820656,187.63858,166.53804,210.92664,132.67935,62.95924,156.24728,233.08153,190.76631,153.63043,60.010868,145.02446,150.89131,147.95108,134.64131,192.90218,210.03532,111.972824,184.42392,69.70109,194.54892,163.27718,148.89946,175.375,142.64946,231.86957,126.05707,136.43207,166.84782,194.82336,238.08696,102.483696,89.252716,195.92392,183.84239,144.70924,229.04619,37.339672,209.10869,31.847826,61.785328,140.08696,136.1875,218.36685,91.03804,116.372284,60.788044,66.76087,175.48369,107.47011,186.34511,198.17392,173.94022,102.195656,220.30978,123.054344,67.97554,162.77174,120.804344,86.96196,224.38858,31.394022,70.896736,211.32881,95.290764,47.510868,145.13043,173.44836,38.828804,22.76087,255.0,0.15886765718460083,37.189852215068086
The Cypher.wav,9,103.359375,51,0.8843657970428467,2.432178735733032,48.99761199951172,136.33038330078125,1107.1321903386329,470.20922257939895,2486.997468157137,1176.9232025449232,271.8673751764056,1837.2676387341105,0.255553126335144,0.1319568157196045,0.6143926978111267,1.2599828243255615,0.9350004196166992,,77.92207792207688,,122.90650747878767,0.0268364865332841,0.3322332233223322,,,185.74411,13.693603,162.44781,101.07071,193.39394,109.03704,129.87206,102.64646,130.50168,238.35353,160.46127,123.377106,122.23906,109.171715,116.17845,76.333336,93.44108,117.3367,112.30976,172.13132,27.552189,245.45792,111.774414,84.49495,86.89226,197.06061,121.57239,170.72054,168.67677,192.73738,188.92256,110.87542,163.38383,174.23233,148.15825,133.6835,137.27946,109.013466,82.28283,78.59933,187.90573,240.3367,52.20202,236.75421,135.62627,157.6229,77.3165,142.9596,101.20539,149.78452,164.90236,165.04378,41.542088,138.68687,126.73737,111.68687,145.05724,138.06734,154.23233,203.38383,207.67003,105.14141,90.279465,174.6936,205.16498,213.40741,174.87206,106.93266,161.19865,197.11447,119.952866,112.03367,157.95287,236.9495,107.0,173.07744,49.141415,217.16835,165.56566,146.51178,149.32997,122.57576,227.26262,138.22896,108.3367,160.54546,183.90236,243.6734,98.383835,125.21212,231.72054,205.19865,114.16161,233.07744,44.710438,176.40068,28.10101,68.26599,146.94276,130.96632,181.39731,100.61953,118.3569,38.666668,67.35354,168.09091,155.34343,209.58586,166.3266,197.16835,115.85185,233.40741,129.78452,42.060608,151.85858,141.34007,42.208755,202.3569,21.50505,77.41414,207.27946,120.942764,62.434345,121.72727,201.25252,33.48148,18.175085,255.0,0.1258457601070404,21.63255452599059
The Emancipation Procrastination.wav,10,95.703125,47,0.8488498330116272,4.463164806365967,51.47880554199219,158.37228393554688,961.3661569509826,370.6820363792917,2289.406803722822,1237.70078222722,231.5076065127092,1870.6789787423195,0.2999186217784881,0.0958912074565887,0.5779252052307129,1.304728388786316,0.6563257575035095,,93.74999999999991,,111.15984299438844,0.0259870309382677,0.2706656912948061,,,181.74315,13.98005,164.85536,83.905235,205.8753,115.70324,139.02744,124.64588,113.3192,233.24438,133.58354,164.12718,89.73815,152.90524,109.97008,119.67581,105.18454,133.33417,115.02743,143.93765,39.52369,224.20947,108.03242,99.900246,70.79551,175.63092,109.730675,174.36409,137.93266,156.64838,155.94016,100.02992,170.19452,190.74315,111.9601,166.55861,89.42145,114.82544,104.87282,107.84539,147.0773,222.69078,82.20947,226.65337,141.58603,143.00249,72.94264,126.21197,86.47132,162.67581,141.82793,141.09975,92.57356,166.0,151.2419,101.74314,170.68828,102.19451,183.14215,236.19202,235.2743,107.15461,161.41147,202.68579,205.32669,227.13716,114.3591,100.0798,198.96509,171.47382,194.73317,82.433914,191.6384,205.78304,115.822945,124.94015,32.61347,230.26683,115.33167,145.1571,127.89526,135.40648,242.40898,163.33417,124.0399,116.84539,213.60847,249.49127,122.30673,136.19951,213.55362,138.66335,179.8379,202.35661,38.214462,186.49127,23.693266,102.33167,186.30174,138.15462,192.93517,104.86783,124.566086,32.586037,21.758104,177.8379,108.69077,239.4763,192.85785,174.04988,67.42145,209.44139,118.18454,61.139652,141.42393,102.77805,46.633415,191.4364,8.620948,55.02743,203.67331,155.05736,93.4389,87.0424,205.33417,8.074813,25.416458,255.0,0.21470655500888824,23.546346717462338
